PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,Injury
Davis Bertans,Mavericks,19 October 2022,16 November 2022,28,Knee injury
Khem Birch,Raptors,19 October 2022,21 October 2022,2,Knee injury
Jimmy Butler,Heat,26 April 2022,02 May 2022,6,Knee injury
Josh Hall,Thunder,15 April 2021,28 April 2021,13,Knee injury
Lonzo Ball,Pelicans,12 January 2021,19 January 2021,7,Knee injury
Goga Bitadze,Pacers,29 July 2020,04 August 2020,6,Knee injury
Luke Kennard,Pistons,20 December 2019,21 December 2019,1,Knee injury
Luke Kennard,Pistons,04 December 2019,05 December 2019,1,Knee injury
Jeff Teague,Timberwolves,01 April 2018,05 April 2018,4,Knee injury
Jahlil Okafor,76ers,04 February 2017,06 February 2017,2,Knee injury
Jordan Clarkson,Lakers,04 March 2016,06 March 2016,2,Knee injury
Jusuf Nurkic,Nuggets,23 February 2016,06 March 2016,12,Knee injury
Hassan Whiteside,Heat,11 January 2016,13 January 2016,2,Knee injury
Ian Mahinmi,Pacers,31 December 2015,02 January 2016,2,Knee injury
Greg Monroe,Bucks,15 December 2015,18 December 2015,3,Knee injury
Wilson Chandler,Nuggets,15 March 2015,16 March 2015,1,Knee injury
Jared Dudley,Bucks,28 February 2015,02 March 2015,2,Knee injury
Evan Fournier,Magic,10 January 2015,14 January 2015,4,Knee injury
Russell Westbrook,Thunder,24 November 2013,27 November 2013,3,Knee injury
Kawhi Leonard,Spurs,21 February 2013,22 February 2013,1,Knee injury
Corey Brewer,Mavericks,24 March 2011,02 April 2011,9,Knee injury
Norman Powell,Blazers,24 October 2021,29 October 2021,5,Patella tendinopathy in left knee
Jaylen Brown,Celtics,24 October 2021,25 October 2021,1,Patella tendinopathy in left knee
Giannis Antetokounmpo,Bucks,13 April 2025,16 April 2025,3,Shoulder injury
Jrue Holiday,Celtics,12 April 2025,16 April 2025,4,Shoulder injury
Ryan Rollins,Bucks,13 April 2025,16 April 2025,3,Shoulder injury
Ja Morant,Grizzlies,13 April 2025,14 April 2025,1,Shoulder injury
Quentin Grimes,76ers,11 April 2025,13 April 2025,2,Shoulder injury
Jrue Holiday,Celtics,09 April 2025,10 April 2025,1,Shoulder injury
Giannis Antetokounmpo,Bucks,06 April 2025,08 April 2025,2,Shoulder injury
Jevon Carter,Bulls,01 April 2025,04 April 2025,3,Shoulder injury
AJ Green,Bucks,30 March 2025,03 April 2025,4,Shoulder injury
Jrue Holiday,Celtics,02 April 2025,03 April 2025,1,Shoulder injury
Lamar Stevens,Grizzlies,20 March 2025,27 March 2025,7,Shoulder injury
Josh Green,Hornets,23 March 2025,24 March 2025,1,Shoulder injury
Jrue Holiday,Celtics,23 March 2025,24 March 2025,1,Shoulder injury
Cason Wallace,Thunder,19 March 2025,21 March 2025,2,Shoulder injury
Ja Morant,Grizzlies,15 March 2025,16 March 2025,1,Shoulder injury
Jayson Tatum,Celtics,05 March 2025,06 March 2025,1,Shoulder injury
Ja Morant,Grizzlies,01 March 2025,05 March 2025,4,Shoulder injury
Amen Thompson,Rockets,03 March 2025,04 March 2025,1,Shoulder injury
Ayo Dosunmu,Bulls,22 February 2025,28 February 2025,6,Shoulder injury
Kyrie Irving,Mavericks,13 February 2025,20 February 2025,7,Shoulder injury
Walker Kessler,Jazz,08 February 2025,09 February 2025,1,Shoulder injury
Donovan Mitchell,Cavaliers,05 February 2025,07 February 2025,2,Shoulder injury
Kyrie Irving,Mavericks,02 February 2025,03 February 2025,1,Shoulder injury
Dorian Finney-Smith,Lakers,30 January 2025,01 February 2025,2,Shoulder injury
Andre Drummond,Bulls,31 October 2022,09 November 2022,9,Shoulder injury
Tyson Chandler,Rockets,11 August 2020,12 August 2020,1,Shoulder injury
Tyson Chandler,Rockets,29 December 2019,31 December 2019,2,Shoulder injury
Patrick Beverley,Rockets,10 April 2017,12 April 2017,2,Shoulder injury
Tyler Johnson,Heat,18 December 2015,28 December 2015,10,Shoulder injury
Tyler Johnson,Heat,11 December 2015,16 December 2015,5,Shoulder injury
Rudy Gay,Kings,21 November 2015,23 November 2015,2,Shoulder injury
Anthony Davis,Pelicans,18 November 2015,20 November 2015,2,Shoulder injury
Glenn Robinson III,Pacers,31 October 2015,03 November 2015,3,Shoulder injury
Paul Millsap,Hawks,07 April 2015,15 April 2015,8,Shoulder injury
Danilo Gallinari,Nuggets,28 March 2015,01 April 2015,4,Shoulder injury
Cody Zeller,Hornets,11 March 2015,20 March 2015,9,Shoulder injury
Darren Collison,Kings,11 November 2014,13 November 2014,2,Shoulder injury
Udonis Haslem,Heat,29 December 2012,31 December 2012,2,Shoulder injury
Jamal Murray,Nuggets,23 February 2024,25 February 2024,2,Tibia injury
Herbert Jones,Pelicans,10 April 2022,12 April 2022,2,Tibia injury
Jaylen Nowell,Timberwolves,16 April 2021,24 April 2021,8,Tibia injury
Jaylen Nowell,Timberwolves,05 April 2021,11 April 2021,6,Tibia injury
E'Twaun Moore,Pelicans,02 December 2018,03 December 2018,1,Tibia injury
Justin Anderson,Hawks,16 October 2018,19 November 2018,34,Tibia injury
JaVale McGee,Nuggets,24 January 2015,28 January 2015,4,Tibia injury
Darius Garland,Cavaliers,26 April 2025,09 May 2025,13,Toe injury
Ben Sheppard,Pacers,06 April 2025,19 April 2025,13,Toe injury
Darius Garland,Cavaliers,12 April 2025,19 April 2025,7,Toe injury
Darius Garland,Cavaliers,09 April 2025,11 April 2025,2,Toe injury
Al Horford,Celtics,02 April 2025,03 April 2025,1,Toe injury
Cole Anthony,Magic,19 March 2025,01 April 2025,13,Toe injury
Al Horford,Celtics,29 March 2025,30 March 2025,1,Toe injury
Al Horford,Celtics,15 March 2025,17 March 2025,2,Toe injury
Cole Anthony,Magic,13 March 2025,16 March 2025,3,Toe injury
Cole Anthony,Magic,04 March 2025,06 March 2025,2,Toe injury
Al Horford,Celtics,25 February 2025,26 February 2025,1,Toe injury
Bradley Beal,Suns,07 February 2025,19 February 2025,12,Toe injury
Andre Drummond,76ers,23 January 2025,07 February 2025,15,Toe injury
Andre Drummond,76ers,19 January 2025,21 January 2025,2,Toe injury
Isaac Okoro,Cavaliers,31 March 2024,07 April 2024,7,Toe injury
Kobe Bufkin,Hawks,05 March 2024,01 April 2024,27,Toe injury
Alex Caruso,Bulls,12 February 2024,14 February 2024,2,Toe injury
Bennedict Mathurin,Pacers,30 January 2024,02 February 2024,3,Toe injury
Maxi Kleber,Mavericks,10 November 2023,13 January 2024,64,Toe injury
Alex Caruso,Bulls,26 November 2023,28 November 2023,2,Toe injury
Alex Caruso,Bulls,12 November 2023,15 November 2023,3,Toe injury
Maxi Kleber,Mavericks,03 November 2023,08 November 2023,5,Toe injury
Landry Shamet,Wizards,24 October 2023,31 October 2023,7,Toe injury
Patrick Baldwin Jr.,Warriors,07 May 2023,12 May 2023,5,Toe injury
Patrick Baldwin Jr.,Warriors,29 April 2023,06 May 2023,7,Toe injury
Simone Fontecchio,Jazz,27 March 2023,29 March 2023,2,Toe injury
Terrence Ross,Suns,01 March 2023,05 March 2023,4,Toe injury
Desmond Bane,Grizzlies,13 November 2022,01 February 2023,80,Toe injury
Isaiah Stewart,Pistons,17 November 2022,29 November 2022,12,Toe injury
Derrick Rose,Knicks,21 November 2022,27 November 2022,6,Toe injury
Luka Doncic,Mavericks,05 March 2022,07 March 2022,2,Toe injury
Wesley Matthews,Bucks,15 February 2022,17 February 2022,2,Toe injury
Nikola Jokic,Nuggets,02 February 2022,03 February 2022,1,Toe injury
Stephen Curry,Warriors,01 February 2022,02 February 2022,1,Toe injury
Kristaps Porzingis,Mavericks,21 December 2021,25 December 2021,4,Toe injury
Isaiah Todd,Wizards,01 December 2021,03 December 2021,2,Toe injury
Steven Adams,Pelicans,29 April 2021,04 May 2021,5,Toe injury
Donte DiVincenzo,Bucks,30 April 2021,01 May 2021,1,Toe injury
Steven Adams,Pelicans,26 April 2021,28 April 2021,2,Toe injury
Donte DiVincenzo,Bucks,15 April 2021,19 April 2021,4,Toe injury
Andre Drummond,Lakers,15 April 2021,17 April 2021,2,Toe injury
Jeremy Lamb,Pacers,31 March 2021,06 April 2021,6,Toe injury
Bryn Forbes,Bucks,24 March 2021,26 March 2021,2,Toe injury
Zion Williamson,Pelicans,04 March 2021,11 March 2021,7,Toe injury
Derrick White,Spurs,09 February 2021,12 February 2021,3,Toe injury
Kyle Lowry,Raptors,22 January 2021,25 January 2021,3,Toe injury
Doug McDermott,Pacers,06 March 2020,31 July 2020,147,Toe injury
Jake Layman,Timberwolves,20 November 2019,24 February 2020,96,Toe injury
Nigel Williams-Goss,Jazz,25 November 2019,01 December 2019,6,Toe injury
JJ Redick,Pelicans,16 November 2019,17 November 2019,1,Toe injury
Will Barton,Nuggets,31 October 2019,05 November 2019,5,Toe injury
Wesley Matthews,Pacers,10 April 2019,13 April 2019,3,Toe injury
Andre Iguodala,Warriors,04 April 2019,10 April 2019,6,Toe injury
Maxi Kleber,Mavericks,18 December 2018,20 December 2018,2,Toe injury
Draymond Green,Warriors,17 November 2018,10 December 2018,23,Toe injury
Rodney Hood,Cavaliers,08 December 2018,10 December 2018,2,Toe injury
Devin Booker,Suns,30 November 2018,02 December 2018,2,Toe injury
Draymond Green,Warriors,08 November 2018,12 November 2018,4,Toe injury
Goran Dragic,Heat,03 November 2018,05 November 2018,2,Toe injury
Stanley Johnson,Pistons,17 October 2018,20 October 2018,3,Toe injury
Evan Turner,Blazers,19 April 2018,21 April 2018,2,Toe injury
Dennis Schroder,Hawks,31 March 2015,07 April 2015,7,Toe injury
Michael Beasley,Timberwolves,15 March 2012,18 March 2012,3,Toe injury
Isaiah Hartenstein,Thunder,09 April 2025,16 April 2025,7,Achilles injury
Tobias Harris,Pistons,03 April 2025,10 April 2025,7,Achilles injury
Aaron Wiggins,Thunder,26 March 2025,03 April 2025,8,Achilles injury
Jordan McLaughlin,Spurs,17 March 2025,19 March 2025,2,Achilles injury
Ziaire Williams,Nets,16 March 2025,18 March 2025,2,Achilles injury
Colby Jones,Wizards,08 March 2025,11 March 2025,3,Achilles injury
Dante Exum,Mavericks,12 February 2025,13 February 2025,1,Achilles injury
Grayson Allen,Suns,15 October 2024,23 October 2024,8,Achilles injury
Anthony Davis,Lakers,30 January 2024,03 February 2024,4,Achilles injury
KZ Okpala,Heat,01 August 2020,03 August 2020,2,Achilles injury
Rudy Gay,Kings,24 January 2014,29 January 2014,5,Achilles injury
Evan Mobley,Cavaliers,13 April 2025,19 April 2025,6,Back injury
Alec Burks,Heat,12 April 2025,16 April 2025,4,Back injury
Chet Holmgren,Thunder,10 April 2025,16 April 2025,6,Back injury
Tyrese Haliburton,Pacers,13 April 2025,16 April 2025,3,Back injury
Jaren Jackson Jr.,Grizzlies,13 April 2025,14 April 2025,1,Back injury
Scotty Pippen Jr.,Grizzlies,13 April 2025,14 April 2025,1,Back injury
Alperen Sengun,Rockets,09 April 2025,11 April 2025,2,Back injury
Keegan Murray,Kings,06 April 2025,11 April 2025,5,Back injury
Bam Adebayo,Heat,07 April 2025,08 April 2025,1,Back injury
Mark Williams,Hornets,04 April 2025,06 April 2025,2,Back injury
Keldon Johnson,Spurs,02 April 2025,04 April 2025,2,Back injury
Devin Vassell,Spurs,02 April 2025,03 April 2025,1,Back injury
Duncan Robinson,Heat,25 March 2025,03 April 2025,9,Back injury
Sam Hauser,Celtics,24 March 2025,25 March 2025,1,Back injury
Jaylen Brown,Celtics,17 March 2025,24 March 2025,7,Back injury
Jaden Springer,Jazz,16 March 2025,23 March 2025,7,Back injury
Tyrese Haliburton,Pacers,17 March 2025,22 March 2025,5,Back injury
Isaiah Hartenstein,Thunder,19 March 2025,20 March 2025,1,Back injury
Alec Burks,Heat,07 March 2025,19 March 2025,12,Back injury
Brandin Podziemski,Warriors,08 March 2025,18 March 2025,10,Back injury
Monte Morris,Suns,06 March 2025,17 March 2025,11,Back injury
Lauri Markkanen,Jazz,24 February 2025,12 March 2025,16,Back injury
Luke Kennard,Grizzlies,09 March 2025,11 March 2025,2,Back injury
Jaden Springer,Jazz,05 March 2025,10 March 2025,5,Back injury
John Collins,Jazz,01 March 2025,10 March 2025,9,Back injury
Vit Krejci,Hawks,11 February 2025,10 March 2025,27,Back injury
Rudy Gobert,Timberwolves,13 February 2025,09 March 2025,24,Back injury
Isaiah Joe,Thunder,01 March 2025,05 March 2025,4,Back injury
Isaiah Stewart,Pistons,03 March 2025,05 March 2025,2,Back injury
Jimmy Butler,Warriors,01 March 2025,03 March 2025,2,Back injury
Seth Curry,Hornets,01 March 2025,03 March 2025,2,Back injury
Monte Morris,Suns,23 February 2025,02 March 2025,7,Back injury
John Collins,Jazz,22 February 2025,28 February 2025,6,Back injury
Devin Booker,Suns,12 February 2025,19 February 2025,7,Back injury
Nick Smith Jr.,Hornets,09 February 2025,10 February 2025,1,Back injury
Ben Simmons,Nets,03 February 2025,05 February 2025,2,Back injury
Brook Lopez,Bucks,03 February 2025,04 February 2025,1,Back injury
Andrew Nembhard,Pacers,29 January 2025,31 January 2025,2,Back injury
Jake LaRavia,Grizzlies,21 January 2025,27 January 2025,6,Back injury
Miles Bridges,Hornets,24 January 2025,25 January 2025,1,Back injury
Kyrie Irving,Mavericks,15 January 2025,17 January 2025,2,Back injury
Draymond Green,Warriors,10 January 2025,12 January 2025,2,Back injury
Cam Reddish,Lakers,07 January 2025,10 January 2025,3,Back injury
Lauri Markkanen,Jazz,05 January 2025,07 January 2025,2,Back injury
Draymond Green,Warriors,27 December 2024,28 December 2024,1,Back injury
DeMar DeRozan,Kings,15 November 2024,21 November 2024,6,Back injury
Gary Trent Jr.,Bucks,08 November 2024,12 November 2024,4,Back injury
Andrew Wiggins,Warriors,29 October 2024,01 November 2024,3,Back injury
Sam Hauser,Celtics,24 October 2024,29 October 2024,5,Back injury
De'Anthony Melton,76ers,14 April 2024,25 April 2024,11,Back injury
De'Anthony Melton,76ers,29 February 2024,09 April 2024,40,Back injury
Duncan Robinson,Heat,19 March 2024,31 March 2024,12,Back injury
Orlando Robinson,Heat,23 February 2024,29 February 2024,6,Back injury
Andrew Nembhard,Pacers,18 January 2024,21 January 2024,3,Back injury
Andrew Nembhard,Pacers,03 January 2024,08 January 2024,5,Back injury
Haywood Highsmith,Heat,28 November 2023,30 November 2023,2,Back injury
Kenrich Williams,Thunder,24 October 2023,13 November 2023,20,Back injury
Ben Simmons,Nets,04 November 2023,06 November 2023,2,Back injury
Al Horford,Celtics,08 April 2023,15 April 2023,7,Back injury
John Collins,Hawks,08 April 2023,11 April 2023,3,Back injury
Kelly Oubre Jr.,Hornets,12 March 2023,14 March 2023,2,Back injury
Bogdan Bogdanovic,Hawks,11 March 2023,13 March 2023,2,Back injury
Yuta Watanabe,Nets,07 February 2023,09 February 2023,2,Back injury
Drew Eubanks,Blazers,25 November 2022,27 November 2022,2,Back injury
Draymond Green,Warriors,21 November 2022,23 November 2022,2,Back injury
Tre Mann,Thunder,14 November 2022,21 November 2022,7,Back injury
Fred VanVleet,Raptors,31 October 2022,06 November 2022,6,Back injury
Troy Brown Jr.,Lakers,18 October 2022,23 October 2022,5,Back injury
Brook Lopez,Bucks,09 April 2022,16 April 2022,7,Back injury
Brook Lopez,Bucks,01 April 2022,02 April 2022,1,Back injury
Cameron Thomas,Nets,15 March 2022,16 March 2022,1,Back injury
Josh Jackson,Kings,30 January 2022,12 February 2022,13,Back injury
Shake Milton,76ers,04 January 2022,11 February 2022,38,Back injury
Dwight Howard,Lakers,08 February 2022,09 February 2022,1,Back injury
Jakob Poeltl,Spurs,15 January 2022,16 January 2022,1,Back injury
Jock Landale,Spurs,10 January 2022,12 January 2022,2,Back injury
Gordon Hayward,Hornets,20 December 2021,22 December 2021,2,Back injury
Al Horford,Celtics,04 December 2021,06 December 2021,2,Back injury
Seth Curry,76ers,22 November 2021,24 November 2021,2,Back injury
Serge Ibaka,Clippers,21 October 2021,06 November 2021,16,Back injury
Ben Simmons,76ers,16 May 2021,23 May 2021,7,Back injury
Goran Dragic,Heat,16 May 2021,22 May 2021,6,Back injury
Ben Simmons,76ers,08 May 2021,10 May 2021,2,Back injury
Goran Dragic,Heat,24 April 2021,26 April 2021,2,Back injury
Clint Capela,Hawks,23 April 2021,25 April 2021,2,Back injury
Bradley Beal,Wizards,10 April 2021,12 April 2021,2,Back injury
Brook Lopez,Bucks,09 April 2021,11 April 2021,2,Back injury
Joel Embiid,76ers,15 February 2021,17 February 2021,2,Back injury
Joel Embiid,76ers,31 January 2021,02 February 2021,2,Back injury
Joel Embiid,76ers,25 January 2021,26 January 2021,1,Back injury
Otto Porter Jr.,Bulls,10 January 2021,15 January 2021,5,Back injury
Joel Embiid,76ers,09 January 2021,11 January 2021,2,Back injury
Joel Embiid,76ers,27 December 2020,29 December 2020,2,Back injury
Jabari Parker,Kings,22 December 2020,26 December 2020,4,Back injury
Joe Harris,Nets,03 August 2020,05 August 2020,2,Back injury
Ben Simmons,76ers,24 February 2020,31 July 2020,158,Back injury
Michael Porter Jr.,Nuggets,22 January 2020,24 January 2020,2,Back injury
John Collins,Hawks,04 January 2020,06 January 2020,2,Back injury
Ja Morant,Grizzlies,13 December 2019,14 December 2019,1,Back injury
Justise Winslow,Heat,31 October 2019,05 November 2019,5,Back injury
JJ Redick,76ers,09 April 2019,12 April 2019,3,Back injury
Jimmy Butler,76ers,04 April 2019,09 April 2019,5,Back injury
Kevin Huerter,Hawks,05 April 2019,07 April 2019,2,Back injury
Jimmy Butler,76ers,01 April 2019,03 April 2019,2,Back injury
Marc Gasol,Grizzlies,19 January 2019,21 January 2019,2,Back injury
JJ Redick,76ers,08 January 2019,09 January 2019,1,Back injury
Jordan Clarkson,Cavaliers,18 December 2018,19 December 2018,1,Back injury
Pascal Siakam,Raptors,16 December 2018,19 December 2018,3,Back injury
Jeff Green,Wizards,05 December 2018,08 December 2018,3,Back injury
Tim Hardaway Jr.,Knicks,05 November 2018,07 November 2018,2,Back injury
Ian Mahinmi,Wizards,24 October 2018,26 October 2018,2,Back injury
Ben Simmons,76ers,23 October 2018,24 October 2018,1,Back injury
Reggie Bullock,Pistons,13 March 2018,15 March 2018,2,Back injury
Garrett Temple,Kings,26 February 2018,01 March 2018,3,Back injury
Joel Embiid,76ers,30 December 2017,31 December 2017,1,Back injury
Joel Embiid,76ers,10 December 2017,12 December 2017,2,Back injury
Bojan Bogdanovic,Wizards,25 March 2017,28 March 2017,3,Back injury
Victor Oladipo,Thunder,02 March 2017,07 March 2017,5,Back injury
Al-Farouq Aminu,Blazers,10 December 2016,12 December 2016,2,Back injury
Reggie Bullock,Pistons,07 November 2016,18 November 2016,11,Back injury
Ivica Zubac,Lakers,10 November 2016,13 November 2016,3,Back injury
Reggie Bullock,Pistons,26 October 2016,07 November 2016,12,Back injury
Dwight Howard,Rockets,14 November 2015,16 November 2015,2,Back injury
Mike Scott,Hawks,15 April 2015,19 April 2015,4,Back injury
Trey Burke,Jazz,10 April 2015,15 April 2015,5,Back injury
Doug McDermott,Bulls,25 March 2015,03 April 2015,9,Back injury
Isaiah Thomas,Celtics,11 March 2015,25 March 2015,14,Back injury
Goran Dragic,Heat,07 March 2015,11 March 2015,4,Back injury
LeBron James,Cavaliers,27 February 2015,01 March 2015,2,Back injury
Mike Scott,Hawks,12 November 2014,14 November 2014,2,Back injury
JJ Redick,Clippers,05 February 2014,03 April 2014,57,Back injury
Jonas Valanciunas,Raptors,19 March 2014,21 March 2014,2,Back injury
Ersan Ilyasova,Bucks,19 March 2013,24 March 2013,5,Back injury
Jeremy Lamb,Thunder,22 January 2013,20 February 2013,29,Back injury
Pascal Siakam,Pacers,13 April 2025,16 April 2025,3,Elbow injury
Jordan Poole,Wizards,03 April 2025,05 April 2025,2,Elbow injury
Johnny Davis,Wizards,24 October 2023,30 October 2023,6,Elbow injury
Jaxson Hayes,Pelicans,19 October 2022,23 October 2022,4,Elbow injury
Malik Beasley,Nuggets,30 December 2017,02 January 2018,3,Elbow injury
John Henson,Bucks,28 December 2015,29 December 2015,1,Elbow injury
Jerami Grant,Blazers,30 December 2024,18 January 2025,19,Facial injury
John Collins,Jazz,21 March 2024,23 March 2024,2,Facial injury
Keita Bates-Diop,Spurs,12 February 2022,14 February 2022,2,Facial injury
Luguentz Dort,Thunder,05 February 2022,07 February 2022,2,Facial injury
Hamidou Diallo,Pistons,05 December 2021,08 December 2021,3,Facial injury
Kyrie Irving,Nets,12 May 2021,15 May 2021,3,Facial injury
Marcus Smart,Wizards,25 March 2025,26 March 2025,1,Finger injury
Marcus Smart,Wizards,20 March 2025,22 March 2025,2,Finger injury
Jrue Holiday,Celtics,28 February 2025,08 March 2025,8,Finger injury
Marcus Smart,Wizards,22 February 2025,24 February 2025,2,Finger injury
Mike Conley,Timberwolves,08 February 2025,21 February 2025,13,Finger injury
Dejounte Murray,Pelicans,25 January 2025,27 January 2025,2,Finger injury
Donovan Mitchell,Cavaliers,14 March 2023,15 March 2023,1,Finger injury
Bones Hyland,Nuggets,24 January 2023,25 January 2023,1,Finger injury
Mike Muscala,Thunder,23 November 2022,05 December 2022,12,Finger injury
Danny Green,76ers,09 March 2022,14 March 2022,5,Finger injury
Bojan Bogdanovic,Jazz,24 January 2022,25 January 2022,1,Finger injury
Bojan Bogdanovic,Jazz,06 January 2022,08 January 2022,2,Finger injury
Tyus Jones,Grizzlies,20 December 2021,23 December 2021,3,Finger injury
Draymond Green,Warriors,14 May 2021,15 May 2021,1,Finger injury
Draymond Green,Warriors,02 April 2021,04 April 2021,2,Finger injury
DeAndre Jordan,Nets,18 January 2020,28 January 2020,10,Finger injury
Daniel Theis,Celtics,13 November 2019,15 November 2019,2,Finger injury
Christian Wood,Bucks,04 November 2018,06 November 2018,2,Finger injury
Russell Westbrook,Nuggets,26 April 2025,29 April 2025,3,Foot injury
Giannis Antetokounmpo,Bucks,26 March 2025,28 March 2025,2,Foot injury
Svi Mykhailiuk,Jazz,17 March 2025,21 March 2025,4,Foot injury
Christian Braun,Nuggets,17 March 2025,19 March 2025,2,Foot injury
Evan Mobley,Cavaliers,16 March 2025,18 March 2025,2,Foot injury
Keyonte George,Jazz,10 March 2025,17 March 2025,7,Foot injury
Jordan Clarkson,Jazz,01 March 2025,12 March 2025,11,Foot injury
Vince Williams Jr.,Grizzlies,10 March 2025,11 March 2025,1,Foot injury
Grayson Allen,Suns,28 February 2025,02 March 2025,2,Foot injury
Kawhi Leonard,Clippers,23 February 2025,25 February 2025,2,Foot injury
Gary Payton II,Warriors,13 February 2025,21 February 2025,8,Foot injury
Isaiah Wong,Hornets,10 February 2025,11 February 2025,1,Foot injury
Jordan Clarkson,Jazz,06 February 2025,08 February 2025,2,Foot injury
Davion Mitchell,Raptors,02 February 2025,03 February 2025,1,Foot injury
Josh Green,Hornets,28 January 2025,31 January 2025,3,Foot injury
Mark Williams,Hornets,20 December 2024,22 December 2024,2,Foot injury
Jordan Clarkson,Jazz,25 November 2024,13 December 2024,18,Foot injury
Patrick Williams,Bulls,20 November 2024,12 December 2024,22,Foot injury
Mark Williams,Hornets,22 October 2024,03 December 2024,42,Foot injury
Luke Kennard,Grizzlies,21 October 2024,06 November 2024,16,Foot injury
Jarred Vanderbilt,Lakers,02 February 2024,29 April 2024,87,Foot injury
Josh Richardson,Heat,24 October 2023,30 October 2023,6,Foot injury
Jevon Carter,Bucks,04 April 2023,05 April 2023,1,Foot injury
Will Barton,Wizards,10 December 2022,12 December 2022,2,Foot injury
Quentin Grimes,Knicks,19 October 2022,02 November 2022,14,Foot injury
Dewayne Dedmon,Heat,27 October 2022,01 November 2022,5,Foot injury
Tim Hardaway Jr.,Mavericks,25 October 2022,27 October 2022,2,Foot injury
Taurean Prince,Hawks,29 March 2019,03 April 2019,5,Foot injury
Udonis Haslem,Heat,13 April 2016,17 April 2016,4,Foot injury
Dewayne Dedmon,Magic,03 February 2016,05 February 2016,2,Foot injury
Michael Kidd-Gilchrist,Bobcats,29 November 2013,01 December 2013,2,Foot injury
Josh Giddey,Bulls,08 April 2025,09 April 2025,1,Forearm injury
Jrue Holiday,Celtics,25 April 2025,04 May 2025,9,Hamstring injury
Andrew Wiggins,Heat,12 April 2025,16 April 2025,4,Hamstring injury
Jamal Murray,Nuggets,28 March 2025,11 April 2025,14,Hamstring injury
Josh Okogie,Hornets,09 April 2025,10 April 2025,1,Hamstring injury
Andrew Wiggins,Heat,28 March 2025,09 April 2025,12,Hamstring injury
Bradley Beal,Suns,17 March 2025,03 April 2025,17,Hamstring injury
Ja Morant,Grizzlies,16 March 2025,29 March 2025,13,Hamstring injury
Ziaire Williams,Nets,22 March 2025,24 March 2025,2,Hamstring injury
Brandon Williams,Mavericks,19 March 2025,21 March 2025,2,Hamstring injury
Domantas Sabonis,Kings,02 March 2025,16 March 2025,14,Hamstring injury
Brandon Williams,Mavericks,10 March 2025,12 March 2025,2,Hamstring injury
Cameron Thomas,Nets,09 March 2025,11 March 2025,2,Hamstring injury
Trendon Watford,Nets,09 March 2025,11 March 2025,2,Hamstring injury
Precious Achiuwa,Knicks,06 March 2025,07 March 2025,1,Hamstring injury
Damian Lillard,Bucks,12 February 2025,20 February 2025,8,Hamstring injury
Michael Porter Jr.,Nuggets,08 February 2025,19 February 2025,11,Hamstring injury
Gary Harris,Magic,06 February 2025,07 February 2025,1,Hamstring injury
Trendon Watford,Nets,05 February 2025,06 February 2025,1,Hamstring injury
Trae Young,Hawks,26 January 2025,28 January 2025,2,Hamstring injury
Kyle Anderson,Warriors,15 January 2025,24 January 2025,9,Hamstring injury
Gradey Dick,Raptors,31 December 2024,01 January 2025,1,Hamstring injury
Gary Harris,Magic,26 November 2024,27 December 2024,31,Hamstring injury
Trey Murphy III,Pelicans,20 November 2024,21 November 2024,1,Hamstring injury
Luke Kornet,Celtics,08 November 2024,10 November 2024,2,Hamstring injury
Robert Williams,Blazers,22 October 2024,04 November 2024,13,Hamstring injury
Josh Okogie,Suns,22 October 2024,01 November 2024,10,Hamstring injury
Jaren Jackson Jr.,Grizzlies,21 October 2024,26 October 2024,5,Hamstring injury
Myles Turner,Pacers,18 December 2023,20 December 2023,2,Hamstring injury
Jonathan Isaac,Magic,06 November 2023,09 November 2023,3,Hamstring injury
D'Angelo Russell,Timberwolves,07 March 2022,09 March 2022,2,Hamstring injury
Tim Hardaway Jr.,Mavericks,02 February 2019,06 February 2019,4,Hamstring injury
Torrey Craig,Nuggets,17 November 2018,23 November 2018,6,Hamstring injury
Torrey Craig,Nuggets,15 February 2018,01 March 2018,14,Hamstring injury
Troy Daniels,Hornets,23 November 2015,25 November 2015,2,Hamstring injury
Ricky Rubio,Timberwolves,12 November 2015,17 November 2015,5,Hamstring injury
Jeff Teague,Hawks,17 December 2014,23 December 2014,6,Hamstring injury
Patrick Beverley,Rockets,24 November 2014,06 December 2014,12,Hamstring injury
Patrick Beverley,Rockets,01 November 2014,04 November 2014,3,Hamstring injury
DeMarre Carroll,Nuggets,13 January 2012,02 February 2012,20,Hamstring injury
Avery Bradley,Celtics,05 March 2017,06 March 2017,1,Hamstring injury / rest
Jalen Williams,Thunder,10 April 2025,19 April 2025,9,Hip injury
Wendell Carter Jr.,Magic,10 April 2025,13 April 2025,3,Hip injury
Kyle Lowry,76ers,02 April 2025,07 April 2025,5,Hip injury
Jordan Miller,Clippers,15 March 2025,05 April 2025,21,Hip injury
Chet Holmgren,Thunder,23 March 2025,31 March 2025,8,Hip injury
Jaylin Williams,Nuggets,29 March 2025,31 March 2025,2,Hip injury
Payton Pritchard,Celtics,29 March 2025,30 March 2025,1,Hip injury
Caleb Martin,Mavericks,16 March 2025,27 March 2025,11,Hip injury
Jalen Williams,Thunder,11 March 2025,27 March 2025,16,Hip injury
Luguentz Dort,Thunder,16 March 2025,23 March 2025,7,Hip injury
